Industry,Year,injury_frequency_rate
Air Transportation,2020,39.7
Air Transportation,2019,36.47
Air Transportation,2018,39.75
Air Transportation,2017,45.4
Air Transportation,2016,65.26
Air Transportation,2015,54
Air Transportation,2014,55.06
Air Transportation,2013,49.21
Air Transportation,2012,72.15
Air Transportation,2011,80.2
Air Transportation,2010,66.09
Air Transportation,2009,75.63
Air Transportation,2008,69.68
Banking/Banks,2020,4.07
Banking/Banks,2019,4.42
Banking/Banks,2018,3.58
Banking/Banks,2017,3.88
Banking/Banks,2016,3.81
Banking/Banks,2015,3.93
Banking/Banks,2014,4.63
Banking/Banks,2013,4.53
Banking/Banks,2012,4.22
Banking/Banks,2011,3.33
Banking/Banks,2010,3.17
Banking/Banks,2009,3.71
Banking/Banks,2008,4.16
"Broadcasting (Television, Radio, Internet)",2020,12.29
"Broadcasting (Television, Radio, Internet)",2019,15.74
"Broadcasting (Television, Radio, Internet)",2018,14.86
"Broadcasting (Television, Radio, Internet)",2017,13.63
"Broadcasting (Television, Radio, Internet)",2016,12.65
"Broadcasting (Television, Radio, Internet)",2015,13.28
"Broadcasting (Television, Radio, Internet)",2014,16.55
"Broadcasting (Television, Radio, Internet)",2013,11.81
"Broadcasting (Television, Radio, Internet)",2012,12.57
"Broadcasting (Television, Radio, Internet)",2011,14.49
"Broadcasting (Television, Radio, Internet)",2010,12.17
"Broadcasting (Television, Radio, Internet)",2009,12.31
"Broadcasting (Television, Radio, Internet)",2008,14.39
Communications,2020,8.36
Communications,2019,10.59
Communications,2018,11.79
Communications,2017,12.81
Communications,2016,13.91
Communications,2015,12.06
Communications,2014,9.74
Communications,2013,13.68
Communications,2012,12.44
Communications,2011,10.35
Communications,2010,9.27
Communications,2009,11.69
Communications,2008,12.04
Crown Corporations,2017,10.61
Crown Corporations,2016,11.39
Crown Corporations,2015,16.32
Crown Corporations,2014,13.2
Crown Corporations,2013,15.12
Crown Corporations,2012,15.89
Crown Corporations,2011,10.31
Crown Corporations,2010,15.07
Crown Corporations,2009,13.18
Crown Corporations,2008,14.44
Energy/Mining/Mineral Processing,2020,4.93
Energy/Mining/Mineral Processing,2019,6.16
Energy/Mining/Mineral Processing,2018,26.64
Energy/Mining/Mineral Processing,2017,6.29
Energy/Mining/Mineral Processing,2016,19.51
Energy/Mining/Mineral Processing,2015,21.57
Energy/Mining/Mineral Processing,2014,23.25
Energy/Mining/Mineral Processing,2013,23.54
Energy/Mining/Mineral Processing,2012,33.11
Energy/Mining/Mineral Processing,2011,55.05
Energy/Mining/Mineral Processing,2010,61.97
Energy/Mining/Mineral Processing,2009,44.41
Energy/Mining/Mineral Processing,2008,47.42
Federal Public Services/Public Service Departments/Crown Corporations,2020,12.65
Federal Public Services/Public Service Departments/Crown Corporations,2019,17.43
Federal Public Services/Public Service Departments/Crown Corporations,2018,15.98
Public Service Departments,2017,16.59
Public Service Departments,2016,18.28
Public Service Departments,2015,16.97
