Industry,Year,Operational Activity,Disabling Injuries,Fatal Injuries,Minor Injuries,Total Injuries,Total number of employees,Number of office employees,Total Hours Worked,Disabling Injuries Incidence Rate (2),Injury Incidence Rate (3),Fatal Injuries Incidence Rate (4),Disabling Injuries Frequency Rate (5),Injury Frequency Rate (6),Fatal Injury Frequency Rate (7)
Air Transportation,2020,Off-board,1463,1,2945,4409,57901,21088,113196640,2.53,7.61,1.73,12.93,38.95,8.83
Air Transportation,2020,On-board,312,1,565,878,10405,0,19991574,3.01,8.44,9.61,15.66,43.92,50.02
Air Transportation,2020,Total,1775,2,3510,5287,68306,21088,133188214,2.6,7.74,2.93,13.34,39.7,15.02
Air Transportation,2019,Off-board,2908,2,4310,7220,98765,39981,193363010,2.95,7.31,2.03,15.05,37.34,10.34
Air Transportation,2019,On-board,603,9,507,1119,17955,0,35310137,3.41,6.23,50.13,17.33,31.69,254.88
Air Transportation,2019,Total,3511,11,4817,8339,116720,39981,228673147,3.02,7.14,9.42,15.4,36.47,48.1
Air Transportation,2018,Off-board,2938,0,3623,6561,90055,30441,179189262,3.26,7.29,0,16.4,36.61,0
Air Transportation,2018,On-board,671,5,1580,2256,21986,0,42615570,3.07,10.26,22.74,15.86,52.94,117.33
Air Transportation,2018,Total,3609,5,5203,8817,112041,30441,221804832,3.23,7.87,4.46,16.29,39.75,22.54
Air Transportation,2017,Off-board,2359,3,4397,6759,74253,26210,"146,007,889",3.18,9.1,4.04,16.18,46.29,20.55
Air Transportation,2017,On-board,609,3,1054,1666,21174,0,"39,545,834",2.89,7.87,14.17,15.48,42.13,75.86
Air Transportation,2017,Total,2968,6,5451,8425,95427,26210,185553723,3.12,8.83,6.29,16.03,45.4,32.34
Air Transportation,2016,Off-board,2174,3,6507,8684,72629,22765,141903397,3,11.96,4.13,15.34,61.2,21.14
Air Transportation,2016,On-board,611,1,2136,2748,23226,0,33268020,2.63,11.83,4.31,18.4,82.6,30.06
Air Transportation,2016,Total,2785,4,8643,11432,95855,22765,175171417,2.91,11.93,4.17,15.92,65.26,22.83
Air Transportation,2015,Off-board,2604,2,5558,8164,79007,24544,152281640,3.3,10.33,2.53,17.11,53.61,13.13
Air Transportation,2015,On-board,557,6,1515,2078,20529,0,37401269,2.74,10.12,29.23,15.05,55.56,160.42
Air Transportation,2015,Total,3161,8,7073,10242,99536,24544,189682909,3.18,10.29,8.04,16.71,54,42.18
Air Transportation,2014,Off-board,2356,2,5347,7705,73932,26505,141419330,3.19,10.42,2.71,16.67,54.48,14.14
Air Transportation,2014,On-board,508,2,1628,2138,28301,0,37352876,1.8,7.55,7.07,13.65,57.24,53.54
Air Transportation,2014,Total,2864,4,6975,9843,102233,26505,178772206,2.81,9.63,3.91,16.04,55.06,22.37
Air Transportation,2013,Off-board,2544,3,3782,6329,64799,22584,127252842,3.93,9.77,4.63,20.02,49.74,23.58
Air Transportation,2013,On-board,525,11,1101,1637,25166,0,34626760,2.13,6.5,43.71,15.48,47.28,317.67
Air Transportation,2013,Total,3069,14,4883,7966,89965,22584,161879602,3.43,8.85,15.56,19.05,49.21,86.48
Air Transportation,2012,Off-board,2855,2,6776,9633,80407,36537,142346709,3.55,11.98,2.49,20.07,67.67,14.05
Air Transportation,2012,On-board,722,3,2595,3320,27049,0,37179324,2.68,12.27,11.09,19.5,89.3,80.69
Air Transportation,2012,Total,3577,5,9371,12953,107456,36537,179526033,3.33,12.05,4.65,19.95,72.15,27.85
Air Transportation,2011,Off-board,2994,0,5948,8942,64298,33155,122092109,4.66,13.91,0,24.52,73.24,0
Air Transportation,2011,On-board,484,10,2623,3117,21925,0,28263468,2.25,14.22,45.61,17.48,110.28,353.81
Air Transportation,2011,Total,3478,10,8571,12059,86223,33155,150355577,4.05,13.99,11.6,23.2,80.2,66.51
Air Transportation,2010,Off-board,2558,1,4382,6941,63323,32167,118815515,4.04,10.96,1.58,21.54,58.42,8.42
Air Transportation,2010,On-board,611,6,1910,2527,22653,0,24445266,2.72,11.16,26.49,25.24,103.37,245.45
Air Transportation,2010,Total,3169,7,6292,9468,85976,32167,143260781,3.69,11.01,8.14,22.17,66.09,48.86
Air Transportation,2009,Off-board,3062,3,5934,8999,68647,19913,132495428,4.46,13.11,4.37,23.13,67.92,22.64
Air Transportation,2009,On-board,510,4,2050,2564,22070,0,20390360,2.33,11.62,18.12,25.21,125.75,196.17
Air Transportation,2009,Total,3572,7,7984,11563,90717,19913,152885788,3.95,12.75,7.72,23.41,75.63,45.79
Air Transportation,2008,Off-board,3500,4,5961,9465,73215,21611,148776008,4.79,12.93,5.46,23.55,63.62,26.89
Air Transportation,2008,On-board,568,3,2168,2739,18612,0,26369798,3.07,14.72,16.12,21.65,103.87,113.77
